"Husholdningers forbrug på dansk område (11 grp) efter sæsonkorrigering,"
"prisenhed, formål og tid"

" ";" ";" ";"1995K1";"1995K2";"1995K3";"1995K4";"1996K1";"1996K2";"1996K3";"1996K4";"1997K1";"1997K2";"1997K3";"1997K4";"1998K1";"1998K2";"1998K3";"1998K4";"1999K1";"1999K2";"1999K3";"1999K4";"2000K1";"2000K2";"2000K3";"2000K4";"2001K1";"2001K2";"2001K3";"2001K4";"2002K1";"2002K2";"2002K3";"2002K4";"2003K1";"2003K2";"2003K3";"2003K4";"2004K1";"2004K2";"2004K3";"2004K4";"2005K1";"2005K2";"2005K3";"2005K4";"2006K1";"2006K2";"2006K3";"2006K4";"2007K1";"2007K2";"2007K3";"2007K4";"2008K1";"2008K2";"2008K3";"2008K4";"2009K1";"2009K2";"2009K3";"2009K4";"2010K1";"2010K2";"2010K3";"2010K4";"2011K1";"2011K2";"2011K3";"2011K4";"2012K1";"2012K2";"2012K3";"2012K4";"2013K1";"2013K2";"2013K3";"2013K4";"2014K1";"2014K2";"2014K3";"2014K4";"2015K1";"2015K2";"2015K3";"2015K4";"2016K1";"2016K2";"2016K3";"2016K4";"2017K1";"2017K2";"2017K3";"2017K4";"2018K1";"2018K2";"2018K3";"2018K4";"2019K1";"2019K2";"2019K3";"2019K4";"2020K1";"2020K2";"2020K3";"2020K4";"2021K1";"2021K2";"2021K3";"2021K4";"2022K1";"2022K2";"2022K3";"2022K4";"2023K1";"2023K2"
"Sæsonkorrigeret"
" ";"2010-priser, kædede værdier"
" ";" ";"I alt";166925;168415;169322;169688;171867;172804;173230;172605;175239;178447;175954;180254;179240;180181;182245;183618;181550;180372;181656;182582;182814;182879;183329;182154;182644;184520;183970;182830;186090;185006;186506;186918;185993;186788;188301;191310;193460;194199;198414;203371;200057;205312;208344;207344;211247;213341;209130;211412;212879;212572;215171;217758;218820;218366;214786;207249;204833;206773;206668;205855;208918;206848;207718;209172;206526;209336;209845;210380;209560;210236;209363;210323;211082;210960;211149;211742;210811;213288;214954;215266;215430;217679;220935;221602;224200;225068;224205;227552;229616;230823;231059;235015;238470;241508;240646;238851;243959;242014;242938;244792;240351;225646;240112;244121;236382;248491;255394;259484;251923;253039;251679;249544;250875;251102
" ";" ";"Fødevarer";18504;19071;19276;18916;18686;19375;18964;18978;19296;19230;19489;19834;19362;19921;19731;20073;20000;19158;19405;19050;19589;19824;19973;19405;19787;19833;19622;19701;19636;19605;20327;19575;19725;19404;19196;20409;19889;19890;20073;21440;20268;20784;20997;20732;21269;20885;20820;21241;21109;20998;21326;20336;20936;21365;20720;20415;20065;20412;20372;20582;21209;20643;20845;20875;20704;20845;20631;21132;21054;20663;20822;21025;21087;20921;20957;20725;21114;21576;21522;21142;21224;21157;21881;21928;22065;22205;22102;22063;22179;22144;22510;22620;22623;23414;22760;22720;22710;22953;22869;22998;23244;23692;24057;24629;25747;24737;24937;25162;24718;23888;23378;22678;22252;22368
" ";" ";"Drikkevarer og tobak mv.";11191;11349;11224;11428;11385;11205;11640;11333;11632;11622;11531;11427;11636;10956;11216;11509;11352;11571;11631;11992;11397;12055;11660;11717;11596;11694;11754;11649;11991;11628;11566;11857;11707;11537;11905;11266;11574;11071;12007;11529;11276;11958;11117;11325;11238;11657;10997;11066;11679;11514;11558;10954;10988;10738;10718;11015;10827;11070;11280;11148;10570;10459;10518;10219;10249;10514;10072;10363;9873;9857;9873;10115;10277;9919;9942;10264;10332;10289;10132;10060;9809;9903;10375;10243;10428;10624;10166;10104;10278;10516;10916;11083;10471;10898;11088;10779;11270;10715;10776;11062;11205;11303;11132;11687;12204;13011;12268;11505;10582;11226;11587;11838;10958;10962
" ";" ";"Beklædning og fodtøj";6038;6094;6055;6178;6284;6321;6238;6241;6411;6605;6649;6722;6648;6831;7040;7089;6971;6806;6649;7027;7012;7049;7363;6869;7263;7319;7438;7210;7434;7371;7172;7291;7445;7466;7443;7312;7418;7546;7852;8057;7761;7956;8145;8270;8600;8743;8472;9059;9127;8843;9468;9483;9346;9367;9190;8958;9370;9634;9501;9418;9843;9185;9499;9599;9336;9293;9131;9215;9885;9550;9653;9497;9179;9570;9446;9661;9554;9696;9784;9555;9695;9718;9850;10037;10229;10235;9956;10393;10453;10176;10462;10392;10647;11065;10858;10742;10960;11170;11083;11394;9861;9791;12473;12521;9626;12987;13740;13813;12976;13520;12633;12263;12023;12118
" ";" ";"Boligbenyttelse";39905;40310;40184;40249;40389;40649;40777;40533;40613;40532;40751;40773;40754;40738;40836;41077;40944;40927;40758;40740;40869;41164;41299;41303;41456;41450;41603;41756;41865;41882;42063;42324;42486;42619;42607;42868;43157;43253;43469;43450;43534;43846;44039;44005;44127;44304;44437;44454;44546;44678;44740;44855;45173;45344;45423;45699;45561;45469;45648;45729;46242;46742;47074;47441;46800;47389;47751;48073;47762;47747;47828;47967;47957;47955;47984;47927;47552;48061;48420;48462;48337;48834;49092;49221;49335;49322;49309;49481;49731;50148;50476;50538;50863;51383;51878;52213;51891;52230;52203;52303;52621;52729;53010;53109;53069;53388;53408;53804;53862;54213;54497;54837;54988;54796
" ";" ";"Elektricitet, gas og andet brændsel";13454;13406;14082;13958;14806;14738;15323;13709;13758;13746;14074;14519;13540;14040;14095;14756;13941;13832;13165;14053;13967;12995;12817;12474;13616;14074;13781;12588;12931;13274;13369;13720;13675;13624;14010;14348;13612;13888;13978;14041;13909;13877;14112;13769;15608;14000;12821;12158;12443;12490;13022;13435;12458;12815;12879;13020;12906;12726;12526;12901;15514;13573;13087;14094;13059;13089;13697;13116;12707;13240;12858;13594;13772;13594;13583;12728;10927;12033;12634;12831;11452;13500;13019;12652;13407;12323;11583;13261;12731;12679;11855;12203;13261;12199;13005;12340;12140;12194;12446;12104;11352;12372;12790;11546;13268;13930;12415;12938;12156;12175;12298;11592;11381;11233
" ";" ";"Boligudstyr, husholdningsudstyr og vedligholdelse heraf";8979;9028;8947;9090;9055;8994;9008;8852;9332;9501;9492;9789;9513;9516;9946;9835;9656;9693;9622;9787;9641;9826;9694;9672;9710;9835;9666;9722;10001;9952;10056;9989;10078;9972;9977;10070;10107;10341;10493;10908;10405;10603;11009;10964;11292;11261;10841;11477;11555;11579;11826;11977;12146;11914;11604;11029;10553;10673;10440;10285;10651;10474;10621;10370;10230;10266;10390;10671;10454;10495;10188;10408;10656;10720;10612;10626;10919;11259;11440;11538;11675;11691;11955;12088;12300;12301;12479;12536;12938;13172;14020;13883;13963;14153;14069;13889;14454;13707;13908;14227;14101;15439;15637;17011;15850;17986;16800;17156;16494;15785;15155;14503;14337;14201
" ";" ";"Medicin, lægeudgifter o.l.";3639;3700;3716;3725;3864;3908;3963;4004;4066;4161;4217;4237;4189;4309;4301;4334;4267;4301;4367;4424;4506;4387;4443;4458;4556;4613;4779;4949;4824;4859;4854;4820;4826;4903;4940;4987;5134;5201;5255;5340;5261;5299;5369;5380;5440;5531;5509;5724;5818;5773;5794;5735;5896;5817;5810;5795;5988;6096;6162;6115;6159;6148;6217;6143;6037;6198;6142;6286;6147;6205;6201;6329;6183;6166;6246;6231;6273;6272;6334;6366;6489;6427;6562;6587;6635;6763;6716;6717;6782;6839;6909;6903;7047;7142;7110;7174;7198;7197;7237;7253;7326;6923;7481;7678;7501;7695;7688;8073;7879;7675;7642;7692;7821;7900
" ";" ";"Køb af køretøjer";7502;7359;7758;7603;8007;8323;8059;8896;9027;9764;7307;8674;9535;9779;9464;8888;9205;8172;8038;7983;7304;6838;6917;6659;6424;6714;6706;6245;7149;7239;7445;7931;5685;5811;6341;6719;7216;8028;8820;10293;9872;10372;10862;10399;11078;12600;11613;11650;11819;11150;11607;11677;11112;10525;9954;6768;6497;6833;6824;6526;6624;6728;7169;7780;7708;7513;7136;7145;7203;7071;8456;7687;7835;8086;8364;8720;8997;8573;8455;8657;8782;8916;9755;9532;9381;9574;9692;9876;10192;10489;8319;11273;12317;11982;10981;10400;14027;11184;11797;12098;12030;9441;13878;14234;11594;12604;12486;13016;9241;9647;10469;11368;12920;13372
" ";" ";"Anden transport og kommunikation";15914;15929;15447;15515;15973;16010;16237;15988;16460;16832;16366;16943;16016;16083;16878;16907;16324;17084;17701;17782;17894;17871;18073;18328;18201;18100;17895;17761;18537;18004;17917;18072;18135;18535;18613;18803;19290;19233;19585;19620;19619;19746;19872;19868;19667;19628;19321;19795;20354;20247;20507;21404;21264;21317;21083;20971;20612;20474;20400;19483;20332;20843;21058;19948;19663;20437;20930;21508;21108;21733;20516;20604;21191;21587;21584;22181;22198;21898;22014;22289;23105;22504;22722;22796;22974;23607;24242;24686;24982;24028;24585;24697;25449;26318;26150;25867;26036;26301;26145;25708;25925;21765;22126;22232;21970;22278;23705;23486;23132;23494;23560;23569;25060;25288
" ";" ";"Fritidsudstyr, underholdning og rejser";14018;14314;14782;15046;15531;15650;15680;15711;16150;16809;16684;17026;16652;16643;17205;17509;17455;17372;18033;18228;18521;18347;18135;18062;18398;18506;18255;18066;18172;18291;18545;18478;18827;19319;19581;20045;20587;20766;21141;21477;21572;22204;23318;23298;23467;23757;23468;24157;24204;24214;24810;24901;25135;25314;24847;23602;22646;22670;23529;23858;23383;22773;22885;23067;23168;23844;24389;24255;25449;25516;25178;24928;25237;25523;25636;25710;26158;26561;26754;26906;27848;28135;28777;29416;30104;29944;30254;30592;31017;31812;32113;32067;32624;32769;33053;33232;33093;33470;33709;33976;33402;28474;27437;32108;30289;30272;33587;35582;36287;36288;35902;35123;34935;34883
" ";" ";"Andre varer og tjenester";29845;29902;29856;29918;29854;29499;29477;29804;29810;30573;31000;31589;32349;32328;32425;32777;32364;32590;33208;32523;33201;33561;33903;34238;32807;33526;33603;34286;34565;33960;34256;33954;34596;34714;34760;35530;36305;35701;36327;37527;36948;38914;39512;39359;39553;40691;40620;40232;39868;40826;40132;42572;43971;43503;42298;40078;39799;40690;39934;39780;38437;39294;38708;39612;39572;39948;39576;38615;37983;38191;37884;38189;37718;37018;36916;37121;37097;37334;37721;37751;37517;37333;37515;37739;38052;38832;38479;38726;39290;39751;39697;40351;40538;41394;40870;40579;41620;42016;42002;42882;40351;34083;40644;38749;35848;40588;45440;46374;45715;46197;45470;44843;45400;45288

"Kædede værdier er ikke direkte additive. Ved kædede værdier kan man "
"ikke danne totaler ved simpel sammenlægning af delkomponenter. Det er "
"nødvendigt at bruge en særlig formel, som beskrevet på "
"https://www.dst.dk/ext/national/NR-DOK. "

